"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar"
"Maintenance.Group:Activated features","Aktivierte Funktionen","Activated features","Características activadas","Fonctionnalités activées","Aktivált szolgáltatások","Funzionalità attivate","有効な機能","활성화된 기능","Geactiveerde functies","Aktywowane funkcje","Recursos ativados","Включённые функции","已啟用的功能","激活功能","Activated features","Etkin Özellikler","Активовані функції","Aktivované funkce","Aktivované funkcie","ฟีเจอร์ที่เปิดอยู่","Characteristici activate","","ﺕﺍﺰﻴﻤﻟﺍ ﻂﻴﺸﻨﺗ"
"Maintenance.Button:Remove parked vehicles","Entferne geparkte Autos","Remove parked vehicles","Remover vehículos estacionados","Retirer les véhicules stationnés","Távolítsa el a parkoló járműveket","Rimuovi veicoli parcheggiati","駐車中の車両を取り除く","주차된 차량 제거","Verwijder geparkeerde voertuigen","Usuń zaparkowane pojazdy","Remover veículos estacionados","Удалить припаркованный транспорт","移除停於停車格中的車輛","移除已停放的车辆","Remove parked vehicles","Park etmiş taşıtları sil","Видалити припарковані авто","Odstranit zaparkovaná vozidla","Vymazať zaparkované vozidlá","ลบพาหนะที่จอดอยู่","Elimină vehiculele parcate","","ﺔﻔﻗﻮﺘﻤﻟﺍ ﺕﺎﺒﻛﺮﻤﻟﺍ ﺔﻟﺍﺯﺇ"
"Maintenance.Button:Reset custom speed limits","Geschwindigkeitsbegrenzungen auf Standard zurücksetzen","Reset custom speed limits","Restablecer límites de velocidad personalizados","Réinitialiser les limites de vitesse persos","Az egyedi sebességkorlátozások visszaállítása","Resetta i limiti di velocità personalizzati","カスタム速度制限をリセットする","커스텀 속도 제한 초기화","Reset aangepaste snelheidslimieten","Zresetuj limity prędkości użytkownika","Resetar limites de velocidade personalizados","Сбросить огран. скорости, заданные вручную","重置自訂速限","重置自定义速度限制","Reset custom speed limits","Ayarlanmış azami hızları sıfırla","Скинути користувацькі обмеження швидкості","Obnovit výchozí nastavení rychlostních limitů","Obnoviť predvolené obmedzenia rýchlostí","รีเซ็ตการตั้งค่าความเร็วที่กําหนดเอง","Resetează limitele de viteză personalizate","","ﺔﺼﺼﺨﻤﻟﺍ ﺔﻋﺮﺴﻟﺍ ﺩﻭﺪﺣ ﻦﻴﻴﻌﺗ ﺓﺩﺎﻋﺇ"
"Maintenance.Button:Reset global configuration","Globale Konfiguration zurücksetzen","Reset global configuration","Restablecer configuración global","Réinitialiser la config. globale","A globális konfiguráció visszaállítása","Resetta configurazione globale","グローバル設定をリセット","글로벌 설정 초기화","Reset algemene configuratie","Zresetuj ustawienia globalne","Resetar configuração global","Сбросить общую конфигурацию","重置所有設定","重置所有设置","Reset global configuration","Genel ayarları sıfırla","Скинути глобальну конфігурацію","Obnovení výchozí konfigurace","Resetovať globálne nadstavenia","รีเซ็ตการตั้งค่าทั้งหมด","Resetează configurațiile globale","","ﻡﺎﻌﻟﺍ ﻦﻳﻮﻜﺘﻟﺍ ﻦﻴﻴﻌﺗ ﺓﺩﺎﻋﺇ"
"Maintenance.Button:Reset stuck cims and vehicles","Setze steckengebliebene Cims und Fahrzeuge zurück","Reset stuck cims and vehicles","Restablecer cims y vehículos atascados","Réinit. citoyens et véhicules coincés","Állítsa vissza a beragadt felfüggesztéseket és járműveket","Resetta i pedoni ed i veicoli bloccati","立ち往生している人や車両をリセットする","갇혀있는 시민과 차량 초기화","Reset vastgelopen inwoners en voertuigen","Zresetuj zablokowane samochody i ludzi","Resetar carros e cims presos","Удалить застрявших симов и транспорт","重置卡死的行人和車輛","重置卡住的行人和车辆","Reset stuck cims and vehicles","Takılmış cim ve taşıtları sıfırla","Скинути сімів та авто, які застрягли","Obnovit uvízlé občany a vozidla","Resetovať zaseknuté vozidlá","รีเซ็ต cims เเละพาหนะที่ติดอยู่","","","ﺔﻘﻟﺎﻌﻟﺍ ﺕﺎﺒﻛﺮﻤﻟﺍﻭ ﺓﺪﻤﻋﻷﺍ ﻂﺒﺿ ﺓﺩﺎﻋﺇ"
"Maintenance.Checkbox:Disable despawning","Despawn ausschalten","Disable despawning","Desactivar desaparición","Désactiver la disparition","Letiltja a hajtást","Disabilita la sparizione dei veicoli","スタック除去無効化","차 사라짐 비활성화","Voertuigverdwijning uitschakelen","Zablokuj znikanie pojazdów","Desativar o desaparecimento de veículos","Отключить исчезновение машин","久塞車輛永不消失","禁止车辆消失","Disable despawning","Yok olmayı devre dışı bırak","Заборонити зникнення застряглих авто","Vypnout mazání vozidel","Deaktivovať mazanie","ปิดการ Despawn","Oprește dispărerea","","ﺢﻴﺤﺼﺘﻟﺍ ﻞﻴﻄﻌﺗ"
"Button:Enable despawning","Despawn einschalten","Enable despawning","Activar desaparición","Activer la disparition","Engedélyezze a levágást","Abilita la sparizione dei veicoli","スタック除去有効化","차 사라짐 활성화","Voertuigverdwijning inschakelen","Odblokuj znikanie pojazdów","Ativar o desaparecimento de veículos","Включить исчезновение машин","允許久塞車輛消失","允许车辆消失","Enable despawning","Yok olmayı etkinleştir","Дозволити застряглим авто зникати","Zapnout mazání vozidel","Aktivovať mazanie","เปิดการ Despawn","Activează disperărea","","ﺢﻴﺤﺼﺘﻟﺍ ﻦﻴﻜﻤﺗ"
"Keybinds.Dialog.Text:Keybind conflict","Die ausgewählte Taste steht in Konflikt mit einer anderen Tastenkombination. Bitte wähle etwas anderes.","The key you've selected is conflicting with another shortcut key. Please choose something else.","Hay un conflicto con al tecla de acceso directo que seleccionaste. Por favor escoge una diferente.","La touche choisie est en conflit avec un autre raccourci. Merci de choisir une autre touche du clavier.","A kiválasztott kulcs ütközik egy másik gyorsbillentyűvel. Kérjük, válasszon valami mást.","Il tasto selezionato è in conflitto con un altro tasto di scelta rapida. Per favore, scegli qualcos'altro.","The key you've selected is conflicting with another shortcut key. Please choose something else.","선택한 키가 다른 단축키와 충돌합니다. 다른 키를 선택해주세요.","De toets dat je hebt geselecteerd is in strijd met een andere sneltoets. Kies alsjeblieft een andere toets.","Wybrany skrót klawiszowy jest już używany. Wybierz inną kombinację.","A tecla que você selecionou está em conflito com um outro atalho. Por favor escolha outra tecla.","Выбранная комбинация клавиш уже используется в другом месте. Пожалуйста, выберите другую комбинацию.","快捷鍵設定檔","所选快捷键与其他快捷键有冲突, 请重新选择其他按键.","The key you've selected is conflicting with another shortcut key. Please choose something else.","Atanmış tuş çakışması","Знайдено конфлікт між призначеннями клавіш","Konflikt klávesových zkratek","Konflikt v klávesovej skratke","แป้นพิมพ์ลัดเกิดการขัดเเย้ง","Conflict Keybind","",".ﺮﺧﺍ ﺭﺎﻴﺘﺧﺍ ﺀﺎﺟﺮﻟﺍ .ﺮﺧﺍ ﺭﺎﺼﺘﺧﺍ ﺡﺎﺘﻔﻣ ﻊﻣ ﺽﺭﺎﻌﺘﻳ ﻪﺗﺩﺪﺣ ﻱﺬﻟﺍ ﺡﺎﺘﻔﻤﻟﺍ"
"Gameplay.Group:Advanced vehicle AI","Verbesserte Fahrzeug-KI","Advanced Vehicle AI","IA de vehículos avanzada","IA des véhicules avancée","Advanced Vehicle AI","IA dei veicoli avanzata","高度な車両AI","개선된 차량 AI","Geavanceerde voertuig-KI","Zaawansowana SI pojazdów","IA de veículo avançada","Улучшенная логика для транспорта","加強版行車AI","高级车辆AI","Advanced Vehicle AI","Gelişmiş taşıt YZ'sı","Покращена логіка руху автотранспорту","Rozšířená inteligence vozidel","Rozšírená AI vozidiel ","AI พาหนะขั้นสูง","Ai avansat pentru vehicule","","ﻲﻋﺎﻨﻄﺻﺍ ﺀﺎﻛﺬﺑ ﺔﺒﻛﺮﻣ"
"Gameplay.Tooltip:DLS_percentage","Prozentsatz der Fahrzeuge mit dynamischer Fahrspurwahl","Percentage of vehicles performing dynamic lane selection","Porcentaje de vehículos realizando selección de carril dinámico","Pourcentage de véhicules effectuant une sélection de voie dynamique","A dinamikus sávválasztást végző járművek százalékos aránya","Percentuale di veicoli che effettuano la selezione dinamica della corsia","動的レーン選択を実行する車両の割合","유동적 차량 차선변경 빈도 백분율","Percentage van voertuigen dat dynamische rijstrookselectie uitvoert","Procent pojazdów zmieniających pas w obszarze dynamicznej zmiany pasa ruchu","Porcentagem de veículos fazendo a seleção dinâmica de faixas","Сколько процентов водителей будут менять полосы движения","動態車道選擇套用施行比率","进行智能车道选择的车辆比率","Percentage of vehicles performing dynamic lane selection","Değişken şerit seçimi","Процент авто, які хаотично змінюють полосу руху","Úroveň umělé inteligence","Uroveň AI","เปอร์เซ็นต์ของพาหนะที่เลือกเลนเเบบ Dynamic","Alegere dinamicâ de bandă","","ﻲﻜﻴﻣﺎﻨﻳﺪﻟﺍ ﺭﺎﺴﻤﻟﺍ ﺭﺎﻴﺘﺧﺎﺑ ﻡﻮﻘﺗ ﻲﺘﻟﺍ ﺕﺎﺒﻛﺮﻤﻠﻟ ﺔﻳﻮﺌﻤﻟﺍ ﺔﺒﺴﻨﻟﺍ"
