"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar"
"TTL.Label:Adaptive step switching","Adaptive Schrittumschaltung","Adaptive step switching","","Commutation d'étape adaptative","Adaptív lépésváltás","Transizione di fase adattiva","適応ステップスイッチング","적응형 신호 변경","Aanpassende stappen overgang","Adaptacyjna zmiana kroku","Troca de passos adaptativa","Адаптивное переключение режимов светофора","自訂號誌燈切換條件","渐进逐步切换","Adaptive step switching","Uyarlanabilir aşama değiştirme","Адаптивне переключення кроків світлофору","Adaptivní změna kroku","Adaptívna zmena kroku","การสลับขั้นตอนแบบปรับเปลี่ยนได้","","","ﺔﻴﻔﻴﻜﺘﻟﺍ ﺓﻮﻄﺨﻟﺍ ﺡﺎﺘﻔﻣ"
"TTL.Label:Flow ratio below wait ratio","Durchflussverhältnis < Warteverhältnis","More waiting than driving (default)","Esperar más que manejar (predeterminado)","Ratio de flux < Ratio d'attente","","Più attesa che guida (impostazione predefinita)","待機率と通過率","대기 중이 운전 중보다 많음 (기본값)","Vloeiverhouding lager dan wachtverhouding","Współczynnik przepływu mniejszy niż współczynnik oczekiwania","Nível do fluxo menor que o nível de espera","Ждущих больше, чем едущих","車輛通過比率小於車輛停等比率","开车中车流量比等待中车辆少 (默认)","Flow ratio below wait ratio","Sürüşten çok bekleme olsun (varsayılan)","Більше очікують, ніж рухаються","Více čekání než jízdy (výchozí)","Viac čakania ako jazdy (predvolené)","อัตราส่วนการไหลต่ํากว่าอัตราส่วนการรอ","","","(ﻲﺿﺍﺮﺘﻓﺍ) ﺭﺎﻈﺘﻧﻻﺍ ﺔﺒﺴﻧ ﻦﻣ ﻞﻗﺃ ﺓﺩﺎﻴﻘﻟﺍ ﺔﺒﺴﻧ"
"TTL.Label:Flow ratio > 0","Durchflussverhältnis > 0","Someone is driving (flow>0)","Alguien está manejando (flujo>0)","Ratio de flux > 0","","Qualcuno sta guidando (flusso>0)","通過率 > 0","누군가 운전하고 있음 (흐름>0)","Vloeiverhouding > 0","Współczynnik przepływu > 0","Nível de fluxo > 0","Есть едущие (интенсивность потока > 0)","車輛通過比率> 0","有车辆开车中 (车流量 > 0)","Flow ratio > 0","Birisi sürüyor (akış>0)","Хтось рухається","Někdo pojede (provoz > 0)","","อัตราส่วนการไหล > 0","","","(0 < ﻖﻓﺪﺗ) ﺩﻮﻘﻳ ﺎﻣ ﺺﺨﺷ"
"TTL.Label:Flow ratio is 0","Durchflussverhältnis = 0","No one is driving (flow=0)","Nadie está manejando (flujo=0)","Ratio de flux = 0","","Nessuno sta guidando (flusso=0)","通過率 = 0","운전하는 사람이 없음 (흐름=0)","Vloeiverhouding = 0","Współczynnik przepływu jest równy 0","Nível de fluxo é 0","Никто не едет (интенсивность равна 0)","車輛通過比率=0","无车辆开车中 (车流量 = 0)","Flow ratio is 0","Kimse sürmüyor (akış=0)","Всі очікують","Nikdo nepojede (provoz < 0)","","อัตราส่วนการไหล = 0","","","(0 = ﻖﻓﺪﺘﻟﺍ) ﺩﻮﻘﻳ ﺪﺣﺃ ﻻ"
"TTL.Label:Wait ratio > 0","Warteverhältnis > 0","Someone is waiting (wait>0)","Alguien está esperando (espera>0)","Ratio d'attente > 0","Várakozási idő > 0","Qualcuno sta aspettando (attesa>0)","待機率 > 0","누군가 기다리고 있음 (대기>0)","Wachtverhouding > 0","Współczynnik oczekiwania > 0","Nível de espera > 0","Есть ждущие (показатель ожидания > 0)","車輛停等比率>0","有车辆等待中 (等待车辆 > 0)","Wait ratio > 0","Birisi bekliyor (bekleme>0)","Хтось очікує","Někdo počká (provoz > 0)","","อัตราส่วนการรอ > 0","","","(0 < ﺮﻈﺘﻧﺍ) ﺮﻈﺘﻨﻳ ﺎﻣ ﺺﺨﺷ"
"TTL.Label:Wait ratio is 0","Warteverhältnis = 0","No one is waiting (wait=0)","Nadie está esperando (espera=0)","Ratio d'attente = 0","Várakozási idő: 0","Nessuno sta aspettando (attesa=0)","待機率 = 0","아무도 기다리지 않음 (대기=0)","Wachtverhouding = 0","Współczynnik oczekiwania jest równy 0","Nível de espera é 0","Никто не ожидает (показатель равен 0)","車輛停等比率=0","无车辆等待中 (等待车辆 = 0)","Wait ratio is 0","Kimse beklemiyor (bekleme=0)","Ніхто не очікує","Nikdo nečeká","","อัตราส่วนการรอ = 0","","","(0 = ﺮﻈﺘﻧﺍ) ﺮﻈﺘﻨﻳ ﺪﺣﺃ ﻻ"
"Dialog.Text:Node has timed TL script","Die Kreuzung wird von einer Zeitsteuerung kontrolliert.\nWähle ""Zeitgesteuerte Ampeln"" aus, klicke auf die Kreuzung und klicke auf ""Entfernen"".","Junction is part of a timed script.\nSelect ""Timed traffic lights"", click on this node and click on ""Remove"" first.","El cruce es parte de un programa temporizado.\nSelecciona ""Semáforos programados"", haz clic en este cruce y luego en ""Eliminar"".","Cette intersection a des feux chronométrés.\nSélectionnez ""Feux tricolores chronométrés"", cliquer sur l'intersection, puis sur ""Retirer"" d'abord.","A csomópont egy időzített szkript része. \nVálassza a ""Időzített jelzőlámpa"" pontot, kattintson erre a csomópontra, majd kattintson az ""Eltávolítás"" elemre.","In questo incrocio c'è un semaforo temporizzato\nPrima devi selezionare ""Semafori temporizzati"", cliccare su questo nodo e cliccare sul tasto ""Rimuovi"".","この交差点には時間設定付き信号があります。\nまず「時間設定付き信号」を選んでこの交差点をクリックして「削除」をクリックしてください。","이미 신호등 시간표가 설정되어 있습니다.\n""신호등 시간표 설정""을 선택하고 이 노드를 클릭한 다음 ""삭제""를 먼저 클릭하십시오.","De kruising heeft tijdgestuurde stoplichten.\nJe kunt de tijdsturing verwijderen door op ""Tijdgestuurde stoplichten"" te klikken, daarn op de kruising en daarna op ""Verwijderen"".","Skrzyżowanie jest częścią skryptu czasowego. \nWybierz ""Sygnalizacja Czasowa"", najpierw kliknij na tym węźle i potem na ""Usuń"".","Este cruzamento é parte de um script cronometrado.\nPrimeiro selecione ""Semáforos cronometrados"", selecione este cruzamento e clique em remover.","Перекрёсток входит в группу перекрёстков с настраиваемым светофором.\nВыберите ""Настраиваемый светофор"", нажмите на этот узел и выберите ""Удалить""","具有自訂程序燈號的道路交岔點。\n先選用「號誌燈時相設定」，再點選該道路交岔點並點選「移除」以移除設定。","此路口有设置定时红绿灯.\n请先选择<定时红绿灯设置>, 再选该节点后点<删除>以删除设置.","Junction is part of a timed script.\nSelect ""Timed traffic lights"", click on this node and click on ""Remove"" first.","Boğumda süreli TI betiği var","Перехрестя входить до групи світлофорів з таймером","Křižovatka je součástí skriptu.\nZvolte ""Časované semafory"", klikněte na tento uzel a poté ""Odstranit"".","","Node ได้หมดเวลาสคริปต์ TL","","",".ﻲﻨﻣﺯ ﺺﻧ ﻦﻣ ﺀﺰﺟ ﻕﺮﻔﻣ\n""ﺔﺗﻮﻗﻮﻤﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ"" ﺩﺪﺣ\n.ًﻻﻭﺃ ""ﺔﻟﺍﺯﺇ"" ﻰﻠﻋ ﺮﻘﻧﺍﻭ ﺓﺪﻘﻌﻟﺍ ﻩﺬﻫ ﻰﻠﻋ ﺮﻘﻧﺍﻭ"
"Dialog.Text:Node is level crossing","Diese Kreuzung ist ein Bahnübergang.\nDu kannst die Ampeln hier nicht entfernen.","This junction is a level crossing.\nYou cannot disable traffic lights here.","This junction is a level crossing.\nYou cannot disable traffic lights here.","Cette intersection est un passage à niveau.\nVous ne pouvez pas désactiver les feux de circulation ici.","Ez a kereszteződés vasúti kereszteződés. \nTe itt nem kapcsolhatja ki a jelzőlámpákat.","Questo è un passaggio a livello.\nNon puoi disabilitare i semafori qui.","この交差点は踏切です。\nここで信号機を無効にすることはできません。","이 교차로는 철도 건널목입니다.\n여기서는 교통신호를 비활성화할 수 없습니다.","Deze kruising is een overweg. \nJe kunt hier geen verkeerslichten uitschakelen.","To jest przejazd kolejowy. \nNie możesz tutaj wyłączyć sygnalizacji!","Este cruzamento é uma passagem de nível.\nVocê não pode desabilitar os semáforos aqui","Это железнодожный переезд.\nЗдесь нельзя отключить светофоры.","此路口為平交道。\n 無法停用此處之號誌燈","此节点级别交汇, 不可禁用红绿灯. ","This junction is a level crossing.\nYou cannot disable traffic lights here.","Bu kavşak hemzemin geçişli.\nTrafik ışıklarını burada devre dışı bırakamazsınız","Перехрестя є залізничним перехрестям","Zvolený uzel se kříží","Táto križovatka je úrovňovou križovatkou.\nTu nie je možné vypnúť svetelnú signalizáciu.","Node กําลังข้ามระดับ","","",".ﻱﻮﺳ ﺮﺒﻌﻣ ﻮﻫ ﻊﻃﺎﻘﺘﻟﺍ ﺍﺬﻫ\nﺎﻨﻫ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ ﻞﻴﻄﻌﺗ ﻚﻨﻜﻤﻳ ﻻ"
"Dialog.Text:Incompatible traffic light script","Das ausgewählte Ampelprogramm ist inkompatibel zu dieser Kreuzung","The chosen traffic light pattern is incompatible with this junction","El programa de semáforo elegido es incompatible para este cruce","Le modèle de chronométrage choisi est incompatible avec cette intersection","A kiválasztott jelzőlámpa-minta nem kompatibilis ezzel a csomóponttal","Lo schema semaforico scelto è incompatibile con questo incrocio","選択された信号パターンはこの交差点と互換性がありません","선택한 교통 신호등 패턴이 이 교차로와 호환되지 않습니다","Het geselecteerde stoplichtenprogramma is niet compatibel met deze kruising","Wybrany szablon sygnalizacji jest niekompatybilny z tym skrzyżowaniem","O padrão de semáforo escolhido é incompatível com este cruzamento","Выбранный режим светофора несовместим с данным перекрёстком (количество дорог отличается)","所選的號誌燈時相不適用於此交叉路口","所选择的红绿灯模式不能用于此路口","The chosen traffic light pattern is incompatible with this junction","Seçilen trafik ışığı örüntüsü bu kavşakla uyumsuzdur","Несумісний сценарій світлофора з таймером (кількість вулиць різна)","Nekompatibilní skript semaforu","","สคริปต์สัญญาณไฟจราจรที่เข้ากันไม่ได้","","","ﻊﻃﺎﻘﺘﻟﺍ ﺍﺬﻫ ﻊﻣ ﻖﻓﺍﻮﺘﻣ ﺮﻴﻏ ﺭﺎﺘﺨﻤﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﻂﻤﻧ"
"TTL.Label:Select junction","Wähle eine Kreuzung aus","Select a junction","Seleccionar un cruce","Sélectionnez une intersection","Válasszon egy kereszteződést","Seleziona un incrocio","交差点を選択してください","교차로 선택","Selecteer een kruising","Wybierz skrzyżowanie","Selecionar cruzamento","Добавление перекрёстка в список","選取一處道路交叉點","请选择另一个路口","Select a junction","Kavşak seç","Оберіть перехрестя","Vyberte křižovatku","Vybrať križovatku","เลือกทางแยก","","","ﻕﺮﻃ ﻊﻃﺎﻘﺗ ﺩﺪﺣ"
